"recipe_id","name","value","unit"
"7"," – z toho rostlinné bílkoviny","19,41","19,41 g"
"7","Tuky","280,34","280,34 g"
"7"," – nasycené","113,73","113,73 g"
"7"," – nenasycené","157,60","157,60 g"
"7"," –– mononenasycené","126,23","126,23 g"
"7"," –– polynenasycené","31,36","31,36 g"
"7"," ––– omega 3","6,30","6,30 g"
"7","Vláknina","46,79","46,79 g"
"7","Cholesterol","775","
775 mg
	"
"7","Sodík","4,39","
4,39 g
	"
"7","Sůl","10,65","10,65 g"
"7","Sacharidy","184,03","184,03 g"
"7"," – cukry","128,47","128,47 g"
"7"," ––– laktóza","8,00","8,00 g"
"7","Energie","7 246","7 246 kJ / 1 732 kcal"
"7","Bílkoviny","74,75","74,75 g"
"7"," – z toho živočišné bílkoviny","73,04","73,04 g"
"7"," – z toho rostlinné bílkoviny","1,71","1,71 g"
"7","Tuky","144,96","144,96 g"
"7"," – nasycené","39,02","39,02 g"
"7"," – nenasycené","90,60","90,60 g"
"7"," –– mononenasycené","36,44","36,44 g"
"7"," –– polynenasycené","54,17","54,17 g"
"7"," ––– omega 3","1,17","1,17 g"
"7","Vláknina","8,39","8,39 g"
"7","Cholesterol","1,06","
1,06 g
	"
"7","Sodík","3,23","
3,23 g
	"
"7","Sůl","7,73","7,73 g"
"7","Sacharidy","28,45","28,45 g"
"7"," – cukry","20,21","20,21 g"
"7"," ––– laktóza","12,50","12,50 g"
"7","Energie","1 359","1 359 kJ / 325 kcal"
"7","Bílkoviny","49,57","49,57 g"
"7"," – z toho živočišné bílkoviny","49,57","49,57 g"
"7"," – z toho rostlinné bílkoviny","0,00","0,00 g"
"7","Tuky","12,70","12,70 g"
"7"," – nasycené","8,30","8,30 g"
"7"," – nenasycené","4,30","4,30 g"
"7"," –– mononenasycené","2,60","2,60 g"
"7"," –– polynenasycené","1,70","1,70 g"
"7"," ––– omega 3","0,03","0,03 g"
"7","Vláknina","0,00","0,00 g"
"7","Cholesterol","146","
146 mg
	"
"7","Sodík","1,29","
1,29 g
	"
"7","Sůl","3,00","3,00 g"
"7","Sacharidy","3,08","3,08 g"
"7"," – cukry","0,08","0,08 g"
"7"," ––– laktóza","0,08","0,08 g"
"7","Energie","1 557","1 557 kJ / 372 kcal"
"7","Bílkoviny","31,82","31,82 g"
"7"," – z toho živočišné bílkoviny","31,33","31,33 g"
"7"," – z toho rostlinné bílkoviny","0,49","0,49 g"
"7","Tuky","25,02","25,02 g"
"7"," – nasycené","15,56","15,56 g"
"7"," – nenasycené","8,47","8,47 g"
"7"," –– mononenasycené","7,24","7,24 g"
"7"," –– polynenasycené","1,23","1,23 g"
"7"," ––– omega 3","0,20","0,20 g"
