"recipe_id","name","description","amount"
"2","Hrášek zelený sterilovaný","['2 lžíce', '2 lžíce ', ' sterilovaného hrášku']","2 lžíce"
"2","Okurka polní zavařená","['2', '2 ', ' sladkokyselé okurky']","2"
"2","Hořčice plnotučná","['1 lžička', '1 lžička ', ' plnotučné hořčice']","1 lžička"
"2","Majonéza","['150', '150 ', '  g majonézy']","150"
"2","Cukr bílý","['1 lžička', '1 lžička ', ' cukru']","1 lžička"
"2","Nálev z okurek","['2 lžíce', '2 lžíce ', ' láku z okurek']","2 lžíce"
"2","Pepř černý","['pepř']","
"
"2","","['']","
"
"2","Vaječný žloutek","['3', '3 ', ' žloutky']","3"
"2","Olej řepkový","['200 g', '200 g ', ' oleje']","200 g"
"2","Sůl mořská","['sůl']","
"
"2","Banán čerstvý","['3', '3 ', ' zralejší banány']","3"
"2","Šťáva z citrónu","['3 lžíce', '3 lžíce ', ' citronové šťávy']","3 lžíce"
"2","Puding v prášku","['1', '1 ', ' pudink bez vaření s vanilkovou příchutí']","1"
"2","Mléko kravské polotučné 1,5%","['300 ml', '300 ml ', ' zahuštěného neslazeného mléka']","300 ml"
"2","Smetana kravská zakysaná 12%","['200 g', '200 g ', ' zakysané smetany']","200 g"
"2","","['']","
"
"2","Čokoláda mléčná 30%","['čokoláda (nebo Granko)']","
"
"2","","['drobné jedlé kytičky a \\t\\t\\t\\t\\t\\t\\t\\tlístky', 'lístky']","lístky"
"2","Olej olivový","['1 lžíce', '1 lžíce ', ' olivového oleje']","1 lžíce"
"2","Cibule čerstvá","['1', '1 ', ' malá cibule']","1"
"2","Česnek čerstvý","['1 stroužek', '1 stroužek ', ' česneku']","1 stroužek"
"2","Zázvor čerstvý","['1 cm', '1 cm ', ' čerstvého zázvoru']","1 cm"
"2","Chilli paprička čerstvá","['chilli paprička (podle chuti, nemusí být)']","
"
"2","Curry pasta","['1 lžíce', '1 lžíce ', ' červené kari pasty']","1 lžíce"
"2","Garam masala","['1 lžička', '1 lžička ', ' garam masala']","1 lžička"
"2","Kurkuma mletá","['1/2 lžičky', '1/2 lžičky ', ' kurkumy']","1/2 lžičky"
"2","Rajče červené čerstvé","['1', '1 ', ' střední rajče']","1"
"2","Květák čerstvý","['200', '200 ', ' g růžiček květáku']","200"
"2","Cizrna","['100 g', '100 g ', ' cizrny (vařené nebo konzerva)']","100 g"
"2","Nápoj kokosový","['150 ml', '150 ml ', ' kokosového mléka (krém)']","150 ml"
"2","Vývar zeleninový","['150-200 ml', '150-200 ml ', ' zeleninového vývaru']","150-200 ml"
"2","Rybí omáčka","['1 lžíce', '1 lžíce ', ' rybí omáčky (nebo sůl, podle chuti)']","1 lžíce"
"2","","['']","
"
"2","Šťáva z limetky","['limetková šťáva (nebo citronová)']","
"
"2","Koriandr listy čerstvé","['čerstvý koriandr']","
"
"2","Králík hřbet","['králičí hřbet']","
"
"2","Sójová omáčka Shoyu","['2 lžíce', '2 lžíce ', ' tmavé sójové omáčky']","2 lžíce"
"2","Sójová omáčka Tamari","['2 lžíce', '2 lžíce ', ' sójové omáčky delicious']","2 lžíce"
"2","Sůl mořská","['1', '1 ', ' rovná lžička soli']","1"
"2","Med nepasterovaný","['1-2 lžičky', '1-2 lžičky ', ' medu']","1-2 lžičky"
"2","Voda","['300 ml', '300 ml ', ' vody']","300 ml"
"2","Olej řepkový","['1 lžíce', '1 lžíce ', ' oleje']","1 lžíce"
"2","Brambor zimní","['1 kg', '1 kg ', ' brambor']","1 kg"
"2","Sůl mořská","['sůl']","
"
"2","Cuketa čerstvá","['1', '1 ', ' cuketa (cca 200 g)']","1"
"2","Kuře prso","['200 g', '200 g ', ' kuřecích prsou']","200 g"
"2","Kari","['1 lžička', '1 lžička ', ' kari']","1 lžička"
"2","Sůl mořská","['špetka', 'špetka ', ' soli']","špetka"
"2","Mrkev čerstvá","['5-6', '5-6 ', ' velkých mrkví']","5-6"
"2","Sůl mořská","['sůl']","
"
"2","Máslo kravské","['1-2 lžíce', '1-2 lžíce ', ' másla']","1-2 lžíce"
"2","Vývar masový","['2 l', '2 l ', ' vývaru']","2 l"
"2","Vejce slepičí","['1', '1 ', ' vejce']","1"
"2","Mouka pšeničná hrubá","['3/4 hrnku', '3/4 hrnku ', ' hrubé mouky']","3/4 hrnku"
"2","Rýže basmati loupaná","['150 g', '150 g ', ' rýže basmati']","150 g"
"2","Vepřová kýta","['300 g', '300 g ', ' kuřecího stehenního masa']","300 g"
"2","Cibule čerstvá","['1', '1 ', ' cibule']","1"
"2","Paprika bílá čerstvá","['1', '1 ', ' paprika']","1"
"2","Kečup sladký","['30 g', '30 g ', ' jemného kečupu']","30 g"
"2","Kečup ostrý","['30 g', '30 g ', ' ostrého kečupu']","30 g"
"2","Voda","['400 ml', '400 ml ', ' vody']","400 ml"
